trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-91.89637753154605,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-141.08522369386696,"{0: 21, 1: 9, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-142.69203781403928,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-39.658345824944455,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-177.8597428226465,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-141.86307662078553,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-233.86063617459055,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-92.65760540074622,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-41.15137843809646,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-190.26442970371428,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,13,-2.2133749892484023,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,11,-21.446499490496993,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-36.56403046306746,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-58.26734679673985,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-37.62103762735585,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-87.94309677025782,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-82.85616184251859,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-136.34072427972112,"{0: 29, 1: 2, 2: 0, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-29.538701202469085,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-9.815863350432481,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-55.67367771094785,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-25.654947566993528,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,33.437424105720225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-52.56718806140668,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,17,15.231815871808193,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.804682379214807,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,14.839032158055547,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,23.35420549824103,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,17,17.15593622000497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-10.33779641952443,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
