trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-173.82208601531394,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-62.74434756519082,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-132.31822694488432,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-44.98553697546248,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-84.78034156075114,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-152.79138945003228,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-214.24922074467383,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.96}",30,0,-150.7921996596866,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-220.17704541474916,"{0: 8, 1: 2, 2: 4, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",30,0,-155.6401438414975,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-166.23736804905053,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,0,-145.21768175867354,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-113.01617874779,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-126.8795851348768,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-179.11823771142252,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-66.78638864589833,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-101.73341383150134,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-183.65482892723753,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-121.11796132439804,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-227.88687461279287,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",35,0,-266.9346325055032,"{0: 18, 1: 3, 2: 9, 3: 1, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-75.72125399105052,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",30,0,-81.56375069473182,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-54.59692841874739,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-123.57831166925989,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-159.23340937537895,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-24.089190730787802,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-117.99260257744704,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-118.70926761712039,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,9,-53.63576706723592,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-33.5698208436403,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-85.58181482572823,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-69.35779508364278,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-100.62289818449236,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-34.331344016352475,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,14,-44.10935263111425,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,5,-36.833558231161476,"{0: 10, 1: 3, 2: 0, 3: 2, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-70.24361069407537,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-77.38514845870617,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-67.74232985137223,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",20,0,-199.35535244746004,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,1,-103.4237195882529,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-121.11787108632372,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-156.8892339192912,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",30,0,-191.0858115938279,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-91.29731221159724,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",30,0,-150.24295502968354,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-57.97327848314034,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,9,-125.56442593148545,"{0: 5, 1: 1, 2: 9, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-234.58951392075303,"{0: 7, 1: 7, 2: 7, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-91.31034328314537,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-108.81695832767815,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-121.99709147618398,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-92.11782312230831,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,0,-171.20026237210035,"{0: 19, 1: 2, 2: 3, 3: 4, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-142.6637028826556,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,0,-87.48185090015797,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-108.06368947328872,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,-98.32700527424319,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
