trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.03326519047212,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.6348328542887,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,8,-16.452148579133205,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,3.8653292867168365,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-76.63662594771509,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,7,-77.94911184088495,"{0: 6, 1: 1, 2: 4, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.26675556386817,"{0: 8, 1: 3, 2: 12, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,6,-37.339895519302345,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-166.04958755883086,"{0: 20, 1: 7, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.44312106247732,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-253.21231401372404,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.83791035087933,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.08863815987394,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.80017676689397,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.140301761703284,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.20723984696997,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.3408514608119,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.61407160870152,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.95146190051332,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-309.3740401595902,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-243.86324387093407,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.03750550149057,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.05854183799943,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.18796693744008,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.85106657132005,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.282638052050935,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-53.40978720399781,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-200.51815991957025,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.40213408113615,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.39861764051712,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
